Date,interconn_fra,interconn_fra_lag1,interconn_fra_lag2,interconn_fra_lag3,interconn_fra_lag4,interconn_fra_lag5,interconn_fra_lag6,interconn_fra_lag7,interconn_fra_lag8,interconn_fra_lag9,interconn_fra_lag10,interconn_fra_lag11,interconn_fra_lag12,interconn_fra_lag13,interconn_fra_lag14,interconn_fra_lag15
2023-02-28,-44615.832,-48130.934,-46432.248,40971.949,8313.024000000001,-16649.751,-21364.477,-25444.409,19394.999000000003,22753.509,73326.484,10058.126000000002,-7974.528999999999,-22144.036000000004,-41845.16899999999,-34928.871
2023-03-01,-41033.847,-44615.832,-48130.934,-46432.248,40971.949,8313.024000000001,-16649.751,-21364.477,-25444.409,19394.999000000003,22753.509,73326.484,10058.126000000002,-7974.528999999999,-22144.036000000004,-41845.16899999999
2023-03-02,-41778.03799999999,-41033.847,-44615.832,-48130.934,-46432.248,40971.949,8313.024000000001,-16649.751,-21364.477,-25444.409,19394.999000000003,22753.509,73326.484,10058.126000000002,-7974.528999999999,-22144.036000000004
2023-03-03,-45572.31100000001,-41778.03799999999,-41033.847,-44615.832,-48130.934,-46432.248,40971.949,8313.024000000001,-16649.751,-21364.477,-25444.409,19394.999000000003,22753.509,73326.484,10058.126000000002,-7974.528999999999
2023-03-04,-40286.006,-45572.31100000001,-41778.03799999999,-41033.847,-44615.832,-48130.934,-46432.248,40971.949,8313.024000000001,-16649.751,-21364.477,-25444.409,19394.999000000003,22753.509,73326.484,10058.126000000002
2023-03-05,-46854.302,-40286.006,-45572.31100000001,-41778.03799999999,-41033.847,-44615.832,-48130.934,-46432.248,40971.949,8313.024000000001,-16649.751,-21364.477,-25444.409,19394.999000000003,22753.509,73326.484
2023-03-06,-47950.002,-46854.302,-40286.006,-45572.31100000001,-41778.03799999999,-41033.847,-44615.832,-48130.934,-46432.248,40971.949,8313.024000000001,-16649.751,-21364.477,-25444.409,19394.999000000003,22753.509
2023-03-07,-39836.422,-47950.002,-46854.302,-40286.006,-45572.31100000001,-41778.03799999999,-41033.847,-44615.832,-48130.934,-46432.248,40971.949,8313.024000000001,-16649.751,-21364.477,-25444.409,19394.999000000003
2023-03-08,-54173.413,-39836.422,-47950.002,-46854.302,-40286.006,-45572.31100000001,-41778.03799999999,-41033.847,-44615.832,-48130.934,-46432.248,40971.949,8313.024000000001,-16649.751,-21364.477,-25444.409
2023-03-09,-53171.083000000006,-54173.413,-39836.422,-47950.002,-46854.302,-40286.006,-45572.31100000001,-41778.03799999999,-41033.847,-44615.832,-48130.934,-46432.248,40971.949,8313.024000000001,-16649.751,-21364.477
2023-03-10,-47932.554,-53171.083000000006,-54173.413,-39836.422,-47950.002,-46854.302,-40286.006,-45572.31100000001,-41778.03799999999,-41033.847,-44615.832,-48130.934,-46432.248,40971.949,8313.024000000001,-16649.751
2023-03-11,-68441.97399999999,-47932.554,-53171.083000000006,-54173.413,-39836.422,-47950.002,-46854.302,-40286.006,-45572.31100000001,-41778.03799999999,-41033.847,-44615.832,-48130.934,-46432.248,40971.949,8313.024000000001
2023-03-12,-52560.432,-68441.97399999999,-47932.554,-53171.083000000006,-54173.413,-39836.422,-47950.002,-46854.302,-40286.006,-45572.31100000001,-41778.03799999999,-41033.847,-44615.832,-48130.934,-46432.248,40971.949
2023-03-13,-8939.897,-52560.432,-68441.97399999999,-47932.554,-53171.083000000006,-54173.413,-39836.422,-47950.002,-46854.302,-40286.006,-45572.31100000001,-41778.03799999999,-41033.847,-44615.832,-48130.934,-46432.248
2023-03-14,-42387.921,-8939.897,-52560.432,-68441.97399999999,-47932.554,-53171.083000000006,-54173.413,-39836.422,-47950.002,-46854.302,-40286.006,-45572.31100000001,-41778.03799999999,-41033.847,-44615.832,-48130.934
2023-03-15,-33096.142,-42387.921,-8939.897,-52560.432,-68441.97399999999,-47932.554,-53171.083000000006,-54173.413,-39836.422,-47950.002,-46854.302,-40286.006,-45572.31100000001,-41778.03799999999,-41033.847,-44615.832
2023-03-16,-41751.135,-33096.142,-42387.921,-8939.897,-52560.432,-68441.97399999999,-47932.554,-53171.083000000006,-54173.413,-39836.422,-47950.002,-46854.302,-40286.006,-45572.31100000001,-41778.03799999999,-41033.847
2023-03-17,-56745.508,-41751.135,-33096.142,-42387.921,-8939.897,-52560.432,-68441.97399999999,-47932.554,-53171.083000000006,-54173.413,-39836.422,-47950.002,-46854.302,-40286.006,-45572.31100000001,-41778.03799999999
2023-03-18,-46018.846,-56745.508,-41751.135,-33096.142,-42387.921,-8939.897,-52560.432,-68441.97399999999,-47932.554,-53171.083000000006,-54173.413,-39836.422,-47950.002,-46854.302,-40286.006,-45572.31100000001
2023-03-19,-58356.94,-46018.846,-56745.508,-41751.135,-33096.142,-42387.921,-8939.897,-52560.432,-68441.97399999999,-47932.554,-53171.083000000006,-54173.413,-39836.422,-47950.002,-46854.302,-40286.006
2023-03-20,-36373.774,-58356.94,-46018.846,-56745.508,-41751.135,-33096.142,-42387.921,-8939.897,-52560.432,-68441.97399999999,-47932.554,-53171.083000000006,-54173.413,-39836.422,-47950.002,-46854.302
2023-03-21,-26426.826,-36373.774,-58356.94,-46018.846,-56745.508,-41751.135,-33096.142,-42387.921,-8939.897,-52560.432,-68441.97399999999,-47932.554,-53171.083000000006,-54173.413,-39836.422,-47950.002
2023-03-22,18508.808,-26426.826,-36373.774,-58356.94,-46018.846,-56745.508,-41751.135,-33096.142,-42387.921,-8939.897,-52560.432,-68441.97399999999,-47932.554,-53171.083000000006,-54173.413,-39836.422
2023-03-23,-5996.096000000001,18508.808,-26426.826,-36373.774,-58356.94,-46018.846,-56745.508,-41751.135,-33096.142,-42387.921,-8939.897,-52560.432,-68441.97399999999,-47932.554,-53171.083000000006,-54173.413
